,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
95,Louisiana,10.2,"3,304,711",,"337,011","3,499,821","150,601","186,410",2012,,Primary,,2678500,1414000,199900,20200,71400,,71400,4457000,,,NA
148,Louisiana,18.2,"3,373,552",,,"3,569,063","311,776","301,241",2016,"613,017",Primary,,2689200,1440900,220700,24100,75800,,79000,4530500,,,NA
37,Maine,4.9,"1,023,959",,"50,008","1,041,335","44,670",,2008,,Caucus,,1215200,9700,12000,6100,9200,,21500,1274100,,,1
67,Maine,0.6,"1,036,235",,"5,814","1,053,285",,"5,814",2012,,Caucus,,1218200,10300,18900,8200,12300,,24700,1292600,,,1
151,Maine,6.1,"1,054,309",,,"1,074,172","46,000",,2016,"64,650",Caucus,,1210500,20000,19400,7100,15300,,21300,1293800,,,1
197,Maine,29.6,"1,080,561",,,"1,099,929","205,937","113,728",2020,"319,665",Primary,,1259217,17881,,8302,14917,318,29208,1332813,,2970,1
39,Maryland,31.5,"3,887,403",,"1,224,318","4,274,714","878,174","320,989",2008,,Primary,,3143000,1555700,365200,11400,276100,,117700,5470000,,,NA
97,Maryland,14.7,"4,062,518",,"596,723","4,521,084","326,470","248,468",2012,,Primary,,3084300,1637300,498100,12700,330600,,156900,5722700,,,NA
173,Maryland,32.8,"4,190,917",,,"4,682,409","916,763","459,066",2016,"1,375,829",Primary,,3010100,1716500,575200,9300,366400,,176900,5856500,,,NA
21,Massachusetts,38.2,"4,624,671","2,445","1,768,206","5,033,718","1,263,764","501,997",2008,,Primary,,4932400,350600,536700,9800,302800,,132300,6265100,,,3
77,Massachusetts,11.2,"4,720,547","1,554","529,542","5,207,006","157,563","370,425",2012,,Primary,,4830400,405100,650300,8000,369400,,146100,6410600,,,3
137,Massachusetts,37.4,"4,966,742","1,681",,"5,442,265","1,220,296","637,703",2016,"1,859,680",Primary,,4771800,440400,750600,8600,415900,,181100,6570600,,,3
198,Massachusetts,33.7,"5,043,097","5,779",,"5,553,077","1,418,180","277,002",2020,"1,700,961",Primary,,5360006,510558,,14493,442574,2329,215493,6830193,,284740,3
3,Michigan,20,"7,304,120",,"1,463,567","7,627,954","594,398","869,169",2008,,Primary,,7594800,1317400,396100,45900,217500,2400,190400,9764400,,,3
72,Michigan,16.5,"7,241,314",,"1,191,386","7,547,125","194,887","996,499",2012,,Primary,,7383900,1330200,441400,44800,231000,,226800,9659300,,,3
154,Michigan,34.1,"7,419,694",,,"7,734,729","1,205,552","1,323,589",2016,"2,529,141",Primary,,7330200,1304100,477300,40700,281500,,258100,9693500,,,3
208,Michigan,30.8,"7,527,525",,,"7,856,894","1,588,113","683,708",2020,"2,321,480",Primary,,7818588,1375424,,53235,304403,2979,283718,9957488,,119141,3
22,Minnesota,7.4,"3,724,120",269,"277,163","3,962,872","214,066","62,828",2008,,Caucus,1,4326700,233700,212800,50000,176900,,84100,5084500,,,1
69,Minnesota,1.3,"3,837,237",,"48,916","4,075,214",,"48,916",2012,,Caucus,1,4332800,269200,257500,52800,220800,,119400,5256300,,,1
78,Minnesota,0.5,"3,839,640",,,"4,077,730","17,376",,2012,,Caucus,1,4332800,269200,257500,52800,220800,,119400,5256300,,,1
138,Minnesota,8.1,"3,967,061",,,"4,225,114","207,109","114,245",2016,"321,354",Caucus,1,4352400,305000,277200,54200,261800,,141700,5392900,,,1
199,Minnesota,21.7,"4,081,093",,,"4,357,606","744,198","140,555",2020,"884,753",Primary,1,4606044,342186,,58982,262359,2187,157767,5527358,,97833,1
49,Mississippi,27.5,"2,097,253",,"577,438","2,160,244","434,110","143,286",2008,,Primary,,1661000,1054600,51400,11800,22400,,25100,2826800,,,3
91,Mississippi,18.2,"2,153,040",,"289,935","2,241,703","97,304","293,787",2012,,Primary,,1669200,1082700,68500,11500,22500,,29600,2884500,,,3
155,Mississippi,29.5,"2,181,159",,,"2,267,268","227,164","416,252",2016,"643,416",Primary,,1651000,1085900,80500,12000,26400,,31400,2887300,,,3
209,Mississippi,23.7,"2,194,354",,,"2,278,489","274,391","245,381",2020,"519,772",Primary,,1751193,1125834,,13689,28313,707,40193,2988762,,28833,3
23,Missouri,33,"4,297,028","2,057","1,415,951","4,477,478","825,050","588,844",2008,,Primary,,4729200,618900,175800,18100,80300,,102300,5728200,,,3
159,Missouri,34.8,"4,518,767","3,504",,"4,706,349","629,425","939,270",2016,"1,572,199",Primary,,4708400,666800,236700,24900,112300,7200,141700,5898000,,,3
210,Missouri,21.2,"4,589,763","3,483",,"4,780,820","660,083","309,211",2020,"972,777",Primary,,5008342,704896,,26952,116720,6662,155328,6090062,,71162,3
70,Missouri ,7.4,"4,415,112","1,365","326,438","4,629,154","72,888","252,185",2012,,Primary,,,,,,,,,,,,3
58,Montana,38.7,"737,733",,"285,215","747,985","273,793","95,730",2008,,Primary,,824400,2900,29600,58000,4800,,18300,938500,,,NA
120,Montana,31.1,"767,519",,"238,771","778,794","88,202","140,457",2012,,Primary,,853800,,29600,66000,5600,,21000,978700,,,NA
183,Montana,35.5,"798,787",,,"813,839","126,376","156,888",2016,"283,264",Primary,,879200,,35600,61700,8500,,27600,1015100,,,NA
114,Nebraska,18.7,"1,331,291",175,"249,458","1,398,670","63,881","185,402",2012,,Primary,,1463200,80500,173800,13400,35500,,26900,1795100,,,NA
