"","County","turnout_2020","turnout_2016","registered_voters","White","Black","Hispanic","pop18.25","pop18.30","pop65.85","pop18.85","delta"
"42","MOFFAT",0.0569765785564577,0.180697149136194,0.973282054412632,0.964725393240136,0.0104185743646094,0.136926927538001,0.125653704495045,0.193618623201677,0.217823494699143,9828.6,-0.123720570579737
"43","MONTEZUMA",0.144838621014607,0.171391550180619,0.937352756400188,0.858881733940631,0.00723947699073347,0.107208065022774,0.113176338935134,0.177629770692634,0.292823346945186,20374.4,-0.0265529291660122
"44","MONTROSE",0.118513257010517,0.19282653073406,0.773544474554419,0.959852925376341,0.00875046259266776,0.173645349600678,0.122297563479652,0.171714398271396,0.303544355175666,33506.8,-0.0743132737235427
"45","MORGAN",0.0840205603253502,0.176796204247628,0.704078174423859,0.933018903449315,0.0377033438770899,0.319038070492544,0.14500489531556,0.224440804338003,0.216857772254858,21244.8,-0.0927756439222774
"46","OTERO",0.143272440153609,0.180095467106916,0.830204931270861,0.93022287621577,0.0188278361985429,0.383641388220938,0.11068442019883,0.190690162581201,0.273488138391415,13931.5,-0.0368230269533072
"47","OURAY",0.331191659595102,0.207297854285368,1.03648927142684,0.975415201842648,0.00637653048854407,0.0536307431203782,0.0992605164262335,0.154806643229482,0.329009576918414,4124.5,0.123893805309735
"48","PARK",0.163137465892933,0.170951667243124,0.867376349871258,0.961518260891844,0.0119646951820965,0.0558651345707954,0.0844125898312901,0.138567567221347,0.262070379052816,15612.6,-0.00781420135019151
"49","PHILLIPS",0.082680190564008,0.228062086983249,0.975564776394652,0.97138466267097,0.0114338404794836,0.16391578300292,0.108836637467343,0.165606270170586,0.305732288304902,3253.5,-0.145381896419241
"50","PITKIN",0.323869900771775,0.179687089830419,0.969050244132934,0.960144642200871,0.0140901454297265,0.0878484800756024,0.107044416443534,0.200897779177823,0.239663726571114,15237.6,0.144182810941356
"51","PROWERS",0.0841739520286931,0.198834342075768,0.788724501232907,0.959762385115445,0.0113651647612643,0.33499215422551,0.117417619367855,0.195471867294329,0.246133154001345,8922,-0.114660390047075
"52","PUEBLO",0.190027573704581,0.174643626830274,0.837533171158987,0.925654675370514,0.0278031678123311,0.398085163639302,0.147265080346436,0.228773317009172,0.24395753176846,131175.7,0.0153839468743067
"53","RIO BLANCO",0.054759985948381,0.333932593556919,0.916248217717438,0.955138139813609,0.0188663649701403,0.0929473270927614,0.116442460686463,0.195586138491104,0.215113756121753,4839.3,-0.279172607608538
"54","RIO GRANDE",0.150213590419944,0.234482597632998,0.905600037349145,0.94681248395154,0.0120684423072434,0.410210322369803,0.108650995588132,0.174420504680315,0.272753799108289,8567.8,-0.0842690072130536
"55","ROUTT",0.269435144814699,0.11688336966677,0.923145048271566,0.972093000622859,0.0112747197134849,0.0585438726253504,0.108056290875117,0.179047609778885,0.209596893491124,20550.4,0.152551775147929
"56","SAGUACHE",0.224172091706765,0.16454382488914,0.815737333710727,0.936560052835173,0.0133974903292763,0.321237852627606,0.0911972827625248,0.160109444287197,0.311463345598641,5299.5,0.0596282668176243
"57","SAN JUAN",0.333778371161549,0.196929238985314,1.22663551401869,0.974299065420561,0.00467289719626168,0.112817089452603,0.0827770360480641,0.128170894526035,0.321762349799733,599.2,0.136849132176235
"58","SAN MIGUEL",0.349264988840145,0.225352112676056,0.924959593627338,0.962826137150773,0.0118987146925267,0.0926806742091896,0.100454090664204,0.165689217270838,0.193765873932117,6496.5,0.123912876164088
"59","SEDGWICK",0.100368016058883,0.306122448979592,0.969666555146649,0.958012713282034,0.0152224824355972,0.131147540983607,0.087431693989071,0.137782982045277,0.347106055536969,1793.4,-0.205754432920709
"60","SUMMIT",0.23015783327683,0.0854333823030851,0.973744679248126,0.96206351000113,0.0154857422684296,0.116412400647907,0.132621388480808,0.294067126228952,0.16919049233435,26547,0.144724450973745
"61","TELLER",0.127598025643718,0.183687692733643,0.87719465739954,0.959095118528207,0.0136333692943681,0.0618513886369495,0.10512397009824,0.165371432935853,0.27758895582521,20948.6,-0.0560896670899249
"62","WASHINGTON",0.0494444149077569,0.398745281514169,0.85065660056356,0.977484183103833,0.0145143282471157,0.0867138072199479,0.112898080706045,0.185044393641342,0.269046732946993,3761.8,-0.349300866606412
"63","WELD",0.126336139554227,0.107603022775723,0.697354842281727,0.942861079785177,0.0172819246653953,0.267892312053762,0.173467412494489,0.26606187839876,0.168147623620878,240216.3,0.0187331167785034
"64","YUMA",0.0643469327060859,0.20791088760916,0.818666017790034,0.976883769973234,0.00686727769216211,0.194162813961662,0.109295157758131,0.175886122151026,0.252818557871685,7397.4,-0.143563954903074
